file,expr,Neutral,Anger,Disgust,Fear,Happiness,Sadness,Surprise
angry_actor_104_00.jpg,1,0,1,0,0,0,0,0
angry_actor_109_00.jpg,1,0,1,0,0,0,0,0
angry_actor_120_01.jpg,3,0,0,0,1,0,0,0
angry_actor_13_00.jpg,4,0,0,0,0,1,0,0
angry_actor_132_00.jpg,1,0,1,0,0,0,0,0
angry_actor_137_00.jpg,1,0,1,0,0,0,0,0
angry_actor_139_00.jpg,1,0,1,0,0,0,0,0
angry_actor_14_00.jpg,1,0,1,0,0,0,0,0
angry_actor_147_01.jpg,0,1,0,0,0,0,0,0
angry_actor_150_00.jpg,1,0,1,0,0,0,0,0
angry_actor_159_00.jpg,5,0,0,0,0,0,1,0
angry_actor_16_00.jpg,1,0,1,0,0,0,0,0
angry_actor_161_00.jpg,0,1,0,0,0,0,0,0
angry_actor_164_01.jpg,0,1,0,0,0,0,0,0
angry_actor_165_00.jpg,0,1,0,0,0,0,0,0
angry_actor_18_00.jpg,1,0,1,0,0,0,0,0
angry_actor_195_00.jpg,2,0,0,1,0,0,0,0
angry_actor_197_00.jpg,1,0,1,0,0,0,0,0
angry_actor_198_00.jpg,2,0,0,1,0,0,0,0
angry_actor_202_00.jpg,1,0,1,0,0,0,0,0
angry_actor_226_00.jpg,5,0,0,0,0,0,1,0
angry_actor_227_00.jpg,5,0,0,0,0,0,1,0
angry_actor_228_00.jpg,5,0,0,0,0,0,1,0
angry_actor_235_00.jpg,1,0,1,0,0,0,0,0
angry_actor_241_00.jpg,4,0,0,0,0,1,0,0
angry_actor_243_00.jpg,1,0,1,0,0,0,0,0
angry_actor_253_00.jpg,4,0,0,0,0,1,0,0
angry_actor_26_00.jpg,1,0,1,0,0,0,0,0
angry_actor_269_00.jpg,0,1,0,0,0,0,0,0
angry_actor_272_00.jpg,1,0,1,0,0,0,0,0
angry_actor_279_00.jpg,1,0,1,0,0,0,0,0
angry_actor_287_00.jpg,0,1,0,0,0,0,0,0
angry_actor_294_00.jpg,0,1,0,0,0,0,0,0
angry_actor_296_00.jpg,0,1,0,0,0,0,0,0
angry_actor_3_00.jpg,0,1,0,0,0,0,0,0
angry_actor_313_00.jpg,4,0,0,0,0,1,0,0
angry_actor_33_00.jpg,1,0,1,0,0,0,0,0
angry_actor_331_00.jpg,0,1,0,0,0,0,0,0
angry_actor_342_00.jpg,5,0,0,0,0,0,1,0
angry_actor_345_00.jpg,5,0,0,0,0,0,1,0
angry_actor_35_00.jpg,1,0,1,0,0,0,0,0
angry_actor_354_00.jpg,0,1,0,0,0,0,0,0
angry_actor_358_00.jpg,1,0,1,0,0,0,0,0
angry_actor_359_00.jpg,0,1,0,0,0,0,0,0
angry_actor_361_00.jpg,0,1,0,0,0,0,0,0
angry_actor_365_00.jpg,4,0,0,0,0,1,0,0
angry_actor_366_00.jpg,4,0,0,0,0,1,0,0
angry_actor_371_00.jpg,1,0,1,0,0,0,0,0
angry_actor_379_00.jpg,1,0,1,0,0,0,0,0
angry_actor_381_00.jpg,1,0,1,0,0,0,0,0
angry_actor_387_00.jpg,0,1,0,0,0,0,0,0
angry_actor_388_00.jpg,6,0,0,0,0,0,0,1
angry_actor_389_00.jpg,4,0,0,0,0,1,0,0
angry_actor_396_00.jpg,1,0,1,0,0,0,0,0
angry_actor_401_00.jpg,0,1,0,0,0,0,0,0
angry_actor_407_01.jpg,4,0,0,0,0,1,0,0
angry_actor_411_00.jpg,0,1,0,0,0,0,0,0
angry_actor_414_00.jpg,2,0,0,1,0,0,0,0
angry_actor_428_00.jpg,1,0,1,0,0,0,0,0
angry_actor_44_00.jpg,0,1,0,0,0,0,0,0
angry_actor_465_00.jpg,1,0,1,0,0,0,0,0
angry_actor_469_00.jpg,1,0,1,0,0,0,0,0
angry_actor_470_01.jpg,4,0,0,0,0,1,0,0
angry_actor_48_00.jpg,1,0,1,0,0,0,0,0
angry_actor_484_00.jpg,1,0,1,0,0,0,0,0
angry_actor_491_00.jpg,6,0,0,0,0,0,0,1
angry_actor_492_00.jpg,5,0,0,0,0,0,1,0
angry_actor_496_00.jpg,0,1,0,0,0,0,0,0
angry_actor_497_00.jpg,2,0,0,1,0,0,0,0
angry_actor_499_00.jpg,0,1,0,0,0,0,0,0
angry_actor_509_00.jpg,0,1,0,0,0,0,0,0
angry_actor_510_00.jpg,0,1,0,0,0,0,0,0
angry_actor_512_00.jpg,0,1,0,0,0,0,0,0
angry_actor_514_00.jpg,4,0,0,0,0,1,0,0
angry_actor_519_00.jpg,5,0,0,0,0,0,1,0
angry_actor_524_00.jpg,0,1,0,0,0,0,0,0
angry_actor_526_00.jpg,0,1,0,0,0,0,0,0
angry_actor_529_00.jpg,5,0,0,0,0,0,1,0
angry_actor_530_00.jpg,6,0,0,0,0,0,0,1
angry_actor_55_00.jpg,0,1,0,0,0,0,0,0
angry_actor_558_01.jpg,0,1,0,0,0,0,0,0
angry_actor_562_00.jpg,5,0,0,0,0,0,1,0
angry_actor_574_00.jpg,1,0,1,0,0,0,0,0
angry_actor_576_00.jpg,4,0,0,0,0,1,0,0
angry_actor_578_00.jpg,0,1,0,0,0,0,0,0
angry_actor_579_00.jpg,0,1,0,0,0,0,0,0
angry_actor_597_04.jpg,0,1,0,0,0,0,0,0
angry_actor_611_00.jpg,0,1,0,0,0,0,0,0
angry_actor_611_01.jpg,0,1,0,0,0,0,0,0
angry_actor_62_00.jpg,1,0,1,0,0,0,0,0
angry_actor_628_00.jpg,0,1,0,0,0,0,0,0
angry_actor_628_01.jpg,0,1,0,0,0,0,0,0
angry_actor_628_03.jpg,0,1,0,0,0,0,0,0
angry_actor_63_00.jpg,4,0,0,0,0,1,0,0
angry_actor_635_00.jpg,4,0,0,0,0,1,0,0
angry_actor_648_02.jpg,4,0,0,0,0,1,0,0
angry_actor_650_00.jpg,5,0,0,0,0,0,1,0
angry_actor_653_01.jpg,4,0,0,0,0,1,0,0
angry_actor_656_00.jpg,0,1,0,0,0,0,0,0
angry_actor_665_00.jpg,0,1,0,0,0,0,0,0
angry_actor_666_00.jpg,0,1,0,0,0,0,0,0
angry_actor_67_00.jpg,0,1,0,0,0,0,0,0
angry_actor_672_01.jpg,0,1,0,0,0,0,0,0
angry_actor_678_02.jpg,0,1,0,0,0,0,0,0
angry_actor_679_01.jpg,0,1,0,0,0,0,0,0
angry_actor_682_02.jpg,0,1,0,0,0,0,0,0
angry_actor_682_03.jpg,0,1,0,0,0,0,0,0
angry_actor_683_00.jpg,0,1,0,0,0,0,0,0
angry_actor_688_00.jpg,0,1,0,0,0,0,0,0
angry_actor_689_03.jpg,4,0,0,0,0,1,0,0
angry_actor_700_00.jpg,1,0,1,0,0,0,0,0
angry_actor_700_01.jpg,1,0,1,0,0,0,0,0
angry_actor_701_00.jpg,0,1,0,0,0,0,0,0
angry_actor_704_01.jpg,0,1,0,0,0,0,0,0
angry_actor_709_00.jpg,0,1,0,0,0,0,0,0
angry_actor_716_00.jpg,0,1,0,0,0,0,0,0
angry_actor_719_02.jpg,0,1,0,0,0,0,0,0
angry_actor_729_01.jpg,0,1,0,0,0,0,0,0
angry_actor_735_02.jpg,0,1,0,0,0,0,0,0
angry_actor_757_02.jpg,5,0,0,0,0,0,1,0
angry_actor_757_03.jpg,5,0,0,0,0,0,1,0
angry_actor_76_00.jpg,1,0,1,0,0,0,0,0
angry_actor_764_00.jpg,0,1,0,0,0,0,0,0
angry_actor_765_00.jpg,0,1,0,0,0,0,0,0
angry_actor_766_00.jpg,5,0,0,0,0,0,1,0
angry_actor_770_01.jpg,0,1,0,0,0,0,0,0
angry_actor_770_02.jpg,0,1,0,0,0,0,0,0
angry_actor_772_00.jpg,5,0,0,0,0,0,1,0
angry_actor_773_01.jpg,0,1,0,0,0,0,0,0
angry_actor_778_00.jpg,5,0,0,0,0,0,1,0
angry_actor_779_01.jpg,0,1,0,0,0,0,0,0
angry_actor_784_03.jpg,5,0,0,0,0,0,1,0
angry_actor_785_00.jpg,1,0,1,0,0,0,0,0
angry_actor_794_00.jpg,6,0,0,0,0,0,0,1
angry_actor_797_00.jpg,0,1,0,0,0,0,0,0
angry_actor_80_00.jpg,0,1,0,0,0,0,0,0
angry_actor_812_01.jpg,0,1,0,0,0,0,0,0
angry_actor_824_00.jpg,0,1,0,0,0,0,0,0
angry_actor_828_00.jpg,0,1,0,0,0,0,0,0
angry_actor_830_00.jpg,5,0,0,0,0,0,1,0
angry_actor_836_02.jpg,0,1,0,0,0,0,0,0
angry_actor_837_00.jpg,5,0,0,0,0,0,1,0
angry_actor_84_00.jpg,0,1,0,0,0,0,0,0
angry_actor_90_00.jpg,5,0,0,0,0,0,1,0
